LGA18,LGA18_NAME,CH_risk_OD_only,rank
14900,Liverpool,0.453353246172328,1
12850,Fairfield,0.271206775428186,2
11500,Campbelltown (C) (,0.10553458370591,3
11570,Canterbury-Bankstown,0.0694666204658475,4
12380,Cumberland,0.0194798846824665,5
11450,Camden,0.0158672709076521,6
16260,Parramatta,0.00917337825753955,7
10750,Blacktown,0.00888894894949745,8
16350,Penrith,0.00687251852014842,9
17200,Sydney,0.00548344569429383,10
17150,Sutherland Shire,0.00495781236011139,11
14170,Inner West,0.00453239678407546,12
12930,Georges River,0.0041113848560617,13
10500,Bayside,0.00353819212323989,14
16550,Randwick,0.00336267198391436,15
17100,Strathfield,0.00195920618215575,16
16700,Ryde,0.00155599194527999,17
15950,North Sydney,0.00145423986345417,18
17420,The Hills Shire,0.00140487960454468,19
11520,Canada Bay,0.00124205356007041,20
18500,Woollahra,0.00102153972650579,21
18250,Willoughby,0.00101952795467251,22
11300,Burwood,0.000954887037126105,23
18050,Waverley,0.000833981404113356,24
15350,Mosman,0.000609339729955329,25
14700,Lane Cove,0.000580020704965656,26
14500,Ku-ring-gai,0.000564677931714539,27
14000,Hornsby,0.000431747558349899,28
18400,Wollondilly,0.000224477116784567,29
14100,Hunters Hill,0.000177616275784077,30
15990,Northern Beaches,0.000125319710727597,31
18450,Wollongong,1.13628025228751e-05,32
10050,Albury,0,33
10130,Armidale Regional,0,34
10250,Ballina,0,35
10300,Balranald,0,36
10470,Bathurst Regional,0,37
10550,Bega Valley,0,38
10600,Bellingen,0,39
10650,Berrigan,0,40
10800,Bland,0,41
10850,Blayney,0,42
10900,Blue Mountains,0,43
10950,Bogan,0,44
11150,Bourke,0,45
11200,Brewarrina,0,46
11250,Broken Hill,0,47
11350,Byron,0,48
11400,Cabonne,0,49
11600,Carrathool,0,50
11650,Central Coast (C) (,0,51
11700,Central Darling,0,52
11720,Cessnock,0,53
11730,Clarence Valley,0,54
11750,Cobar,0,55
11800,Coffs Harbour,0,56
12000,Coolamon,0,57
12150,Coonamble,0,58
12160,Cootamundra-Gundagai Regional,0,59
12350,Cowra,0,60
12390,Dubbo Regional,0,61
12700,Dungog,0,62
12730,Edward River,0,63
12750,Eurobodalla,0,64
12870,Federation,0,65
12900,Forbes,0,66
12950,Gilgandra,0,67
13010,Glen Innes Severn,0,68
13310,Goulburn Mulwaree,0,69
13340,Greater Hume Shire,0,70
13450,Griffith,0,71
13550,Gunnedah,0,72
13660,Gwydir,0,73
13800,Hawkesbury,0,74
13850,Hay,0,75
13910,Hilltops,0,76
14200,Inverell,0,77
14300,Junee,0,78
14350,Kempsey,0,79
14400,Kiama,0,80
14550,Kyogle,0,81
14600,Lachlan,0,82
14650,Lake Macquarie,0,83
14750,Leeton,0,84
14850,Lismore,0,85
14870,Lithgow,0,86
14920,Liverpool Plains,0,87
14950,Lockhart,0,88
15050,Maitland,0,89
15240,Mid-Coast,0,90
15270,Mid-Western Regional,0,91
15300,Moree Plains,0,92
15520,Murray River,0,93
15560,Murrumbidgee,0,94
15650,Muswellbrook,0,95
15700,Nambucca,0,96
15750,Narrabri,0,97
15800,Narrandera,0,98
15850,Narromine,0,99
15900,Newcastle,0,100
16100,Oberon,0,101
16150,Orange,0,102
16200,Parkes,0,103
16380,Port Macquarie-Hastings,0,104
16400,Port Stephens,0,105
16490,Queanbeyan-Palerang Regional,0,106
16610,Richmond Valley,0,107
16900,Shellharbour,0,108
16950,Shoalhaven,0,109
17000,Singleton,0,110
17040,Snowy Monaro Regional,0,111
17080,Snowy Valleys,0,112
17310,Tamworth Regional,0,113
17350,Temora,0,114
17400,Tenterfield,0,115
17550,Tweed,0,116
17620,Upper Hunter Shire,0,117
17640,Upper Lachlan Shire,0,118
17650,Uralla,0,119
17750,Wagga Wagga,0,120
17850,Walcha,0,121
17900,Walgett,0,122
17950,Warren,0,123
18020,Warrumbungle Shire,0,124
18100,Weddin,0,125
18200,Wentworth,0,126
18350,Wingecarribee,0,127
18710,Yass Valley,0,128
19399,Unincorporated NSW,0,129
19499,No usual address (,0,130
19799,Migratory - Offshore - Shipping (,0,131
20110,Alpine,0,132
20260,Ararat ,0,133
20570,Ballarat,0,134
20660,Banyule,0,135
20740,Bass Coast,0,136
20830,Baw Baw,0,137
20910,Bayside,0,138
21010,Benalla ,0,139
21110,Boroondara,0,140
21180,Brimbank,0,141
21270,Buloke,0,142
21370,Campaspe,0,143
21450,Cardinia,0,144
21610,Casey,0,145
21670,Central Goldfields,0,146
21750,Colac-Otway,0,147
21830,Corangamite,0,148
21890,Darebin,0,149
22110,East Gippsland,0,150
22170,Frankston,0,151
22250,Gannawarra,0,152
22310,Glen Eira,0,153
22410,Glenelg,0,154
22490,Golden Plains,0,155
22620,Greater Bendigo,0,156
22670,Greater Dandenong,0,157
22750,Greater Geelong,0,158
22830,Greater Shepparton,0,159
22910,Hepburn,0,160
22980,Hindmarsh,0,161
23110,Hobsons Bay,0,162
23190,Horsham ,0,163
23270,Hume,0,164
23350,Indigo,0,165
23430,Kingston (C) (V,0,166
23670,Knox,0,167
23810,Latrobe (C) (V,0,168
23940,Loddon,0,169
24130,Macedon Ranges,0,170
24210,Manningham,0,171
24250,Mansfield,0,172
24330,Maribyrnong,0,173
24410,Maroondah,0,174
24600,Melbourne,0,175
24650,Melton,0,176
24780,Mildura ,0,177
24850,Mitchell,0,178
24900,Moira,0,179
24970,Monash,0,180
25060,Moonee Valley,0,181
25150,Moorabool,0,182
25250,Moreland,0,183
25340,Mornington Peninsula,0,184
