Jul_28_2020,Jul_27_2020,Jul_26_2020,Jul_25_2020,Jul_24_2020,Jul_23_2020,Jul_22_2020,Jul_21_2020,Jul_20_2020,Jul_19_2020,Jul_18_2020,Jul_17_2020,Jul_16_2020,Jul_15_2020,Jul_14_2020,Jul_13_2020,Jul_12_2020,Jul_11_2020,Jul_10_2020,Jul_09_2020,Jul_08_2020,Jul_07_2020,Jul_06_2020
Liverpool (C) : 30,Liverpool (C) : 30,Liverpool (C) : 29,Liverpool (C) : 28,Liverpool (C) : 26,Liverpool (C) : 25,Liverpool (C) : 25,Liverpool (C) : 23,Liverpool (C) : 21,Liverpool (C) : 19,Liverpool (C) : 18,Liverpool (C) : 17,Liverpool (C) : 15,Liverpool (C) : 15,Liverpool (C) : 13,Liverpool (C) : 11,Liverpool (C) : 6,Blue Mountains (C) : 4,Blue Mountains (C) : 4,Albury (C) : 2,Albury (C) : 2,Albury (C) : 2,Albury (C) : 2
Fairfield (C) : 27,Fairfield (C) : 26,Fairfield (C) : 24,Fairfield (C) : 24,Fairfield (C) : 23,Fairfield (C) : 18,Fairfield (C) : 16,Fairfield (C) : 15,Fairfield (C) : 10,Fairfield (C) : 8,Campbelltown (C) (NSW) : 7,Campbelltown (C) (NSW) : 7,Campbelltown (C) (NSW) : 6,Campbelltown (C) (NSW) : 5,Blue Mountains (C) : 4,Blue Mountains (C) : 4,Blue Mountains (C) : 4,Albury (C) : 2,Albury (C) : 2,Blue Mountains (C) : 2,Campbelltown (C) (NSW) : 1,Campbelltown (C) (NSW) : 1,NaN
Cumberland (A) : 19,Canterbury-Bankstown (A) : 13,Cumberland (A) : 13,Cumberland (A) : 12,Cumberland (A) : 12,Cumberland (A) : 9,Campbelltown (C) (NSW) : 8,Campbelltown (C) (NSW) : 8,Campbelltown (C) (NSW) : 7,Campbelltown (C) (NSW) : 7,Fairfield (C) : 5,Blue Mountains (C) : 4,Blue Mountains (C) : 4,Blue Mountains (C) : 4,Campbelltown (C) (NSW) : 4,Wollondilly (A) : 4,Albury (C) : 2,Campbelltown (C) (NSW) : 1,Campbelltown (C) (NSW) : 1,Campbelltown (C) (NSW) : 1,NaN,NaN,NaN
Canterbury-Bankstown (A) : 13,Cumberland (A) : 13,Canterbury-Bankstown (A) : 10,Canterbury-Bankstown (A) : 9,Campbelltown (C) (NSW) : 8,Campbelltown (C) (NSW) : 8,Cumberland (A) : 8,Cumberland (A) : 8,Cumberland (A) : 6,Wollondilly (A) : 5,Blue Mountains (C) : 4,Wollondilly (A) : 4,Wollondilly (A) : 4,Wollondilly (A) : 4,Wollondilly (A) : 4,Campbelltown (C) (NSW) : 3,Bayside (A) : 1,Liverpool (C) : 1,NaN,NaN,NaN,NaN,NaN
Parramatta (C) : 11,Parramatta (C) : 11,Campbelltown (C) (NSW) : 8,Campbelltown (C) (NSW) : 8,Parramatta (C) : 7,Blacktown (C) : 6,Blacktown (C) : 6,Blacktown (C) : 5,Blacktown (C) : 5,Blue Mountains (C) : 4,Canterbury-Bankstown (A) : 4,Georges River (A) : 3,Albury (C) : 2,Albury (C) : 2,Albury (C) : 2,Albury (C) : 2,Campbelltown (C) (NSW) : 1,NaN,NaN,NaN,NaN,NaN,NaN
Blacktown (C) : 8,Campbelltown (C) (NSW) : 8,Blacktown (C) : 7,LGA not listed : 7,Blacktown (C) : 6,Parramatta (C) : 6,Blue Mountains (C) : 5,Blue Mountains (C) : 5,Blue Mountains (C) : 5,Canterbury-Bankstown (A) : 4,Cumberland (A) : 4,Albury (C) : 2,Blacktown (C) : 2,Blacktown (C) : 2,LGA not listed : 2,Bayside (A) : 1,LGA not listed : 1,NaN,NaN,NaN,NaN,NaN,NaN
Campbelltown (C) (NSW) : 8,Blacktown (C) : 7,LGA not listed : 7,Parramatta (C) : 7,The Hills Shire (A) : 6,The Hills Shire (A) : 6,LGA not listed : 5,Parramatta (C) : 5,Parramatta (C) : 5,Cumberland (A) : 4,Wollondilly (A) : 4,Blacktown (C) : 2,Canterbury-Bankstown (A) : 2,LGA not listed : 2,Bayside (A) : 1,Fairfield (C) : 1,Wollondilly (A) : 1,NaN,NaN,NaN,NaN,NaN,NaN
LGA not listed : 8,LGA not listed : 7,Parramatta (C) : 7,Blacktown (C) : 6,Blue Mountains (C) : 5,Blue Mountains (C) : 5,Parramatta (C) : 5,The Hills Shire (A) : 5,Wollondilly (A) : 5,Sutherland Shire (A) : 4,Georges River (A) : 3,Canterbury-Bankstown (A) : 2,Fairfield (C) : 2,Parramatta (C) : 2,Blacktown (C) : 1,LGA not listed : 1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
The Hills Shire (A) : 6,The Hills Shire (A) : 6,The Hills Shire (A) : 6,The Hills Shire (A) : 6,Canterbury-Bankstown (A) : 5,LGA not listed : 5,Sutherland Shire (A) : 5,Wollondilly (A) : 5,Canterbury-Bankstown (A) : 4,Blacktown (C) : 3,Albury (C) : 2,Fairfield (C) : 2,Georges River (A) : 2,Bayside (A) : 1,Fairfield (C) : 1,Lake Macquarie (C) : 1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Blue Mountains (C) : 5,Blue Mountains (C) : 5,Blue Mountains (C) : 5,Blue Mountains (C) : 5,LGA not listed : 5,Sutherland Shire (A) : 5,The Hills Shire (A) : 5,Canterbury-Bankstown (A) : 4,Sutherland Shire (A) : 4,Eurobodalla (A) : 3,Blacktown (C) : 2,LGA not listed : 2,LGA not listed : 2,Fairfield (C) : 1,Georges River (A) : 1,Parramatta (C) : 1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
